ID~Category~RID~Roi~Semester~Tmima~Subject~TM~ΚΜ ~EM~Theory Hours~Applied Hours~Lab Hours~Sum Hours~Wordload~ECTS~Passed
1~~~~1~~Μαθηματική Ανάλυση Ι ~ΜΥ ~~Υ ~3~2~~5~125~5~0
67~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Ηλεκτρονική Μάθηση ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~2~~4~125~5~0
68~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Ηλεκτρονικό Εμπόριο - Επιχειρηματικότητα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~~2~4~125~5~0
69~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Θεωρία Γραφημάτων και Εφαρμογές ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
70~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Θεωρία Παιγνίων ~ΜΕΠ ~~ΕΥ ~2~2~~4~125~5~0
71~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Νευρωνικά Δίκτυα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
72~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Όραση Υπολογιστών ~ΜΕΔ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
73~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Σχεδίαση Παιχνιδιών και Εφαρμογών Εικονικής και Επαυξημένης Πραγματικότητας ~ΜΕΠ ~~ΕΥ ~2~2~~4~125~5~0
74~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Βιομηχανική Πληροφορική ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
75~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Ενσωματωμένα Συστήματα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
76~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Ολοκληρωμένα Κυκλώματα για Εξειδικευμένες Εφαρμογές ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
77~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Παράλληλα Συστήματα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
78~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Ρομποτική ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
79~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Σχεδίαση Ολοκληρωμένων Κυκλωμάτων VLSI ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~135~5~0
80~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Υπολογιστικά Συστήματα Υψηλής Αξιοπιστίας ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
81~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Ασφάλεια και Αξιοπιστία Υλικού ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
82~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Μηχατρονική ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~~2~4~125~5~0
83~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Προηγμένη Σχεδίαση και Σύνθεση Ψηφιακών Συστημάτων ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
84~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Στοχαστικά και μη Γραμμικά Συστήματα ~ΜΕΠ ~~ΕΥ ~2~2~~4~125~5~0
85~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων (Χειμερινό Εξάμηνο) ~8~~Ψηφιακός Έλεγχος Συστημάτων ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
86~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~7,9~~Διαδίκτυο των Αντικειμένων ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
87~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~9~~Βελτιστοποίηση ~ΜΕΠ ~~ΕΥ ~2~2~~4~125~5~0
88~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~9~~Κανονιστικό Πλαίσιο Ασφάλειας Επικοινωνιών και Πληροφοριών ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
89~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~7,9~~Κρυπτογραφία ~ΜΕΠ ~~ΕΥ ~2~2~~4~125~5~0
90~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~7,9~~Δίκτυα Οπτικών Επικοινωνιών ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
91~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~7,9~~Τηλεπικοινωνιακά Συστήματα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
92~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~8~~Ασύρματα Δίκτυα Αισθητήρων ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
93~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~8~~Δικτύωση Οριζόμενη από Λογισμικό ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
94~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~8~~Ευρυζωνικά Δίκτυα ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
95~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~8~~Πολυμέσα και Πολυμεσικές Επικοινωνίες ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
96~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών (Χειμερινό Εξάμηνο) ~8~~Τεχνολογία και Προγραμματισμός Κινητών Συσκευών ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~135~5~0
97~~~~7,9~~Διαχείριση Έργου ~ΜΓΓ, ΜΑΔ ~~ΕΥ ~2~2~~4~125~5~0
98~~~~7,9~~Δίκαιο και Κυβερνοηθική ~ΜΓΓ, ΜΕΠ ~~ΕΥ ~3~1~~4~125~5~0
99~~~~7,9~~Εκπαιδευτική Τεχνολογία και Διδακτική της Πληροφορικής ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~2~~4~125~5~0
100~~~~7,9~~Ιστορία της Τεχνολογίας ~ΜΥ, ΜΓΓ ~~ΕΥ ~2~1~1~4~125~5~0
101~~~~8~~Πληροφορική και Κοινωνία - Τεχνική της Έκφρασης ~ΜΓΓ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
102~~~~8~~Φιλοσοφία της Πληροφορικής και Εφαρμογές των ΤΠΕ ~ΜΓΓ ~~ΕΥ ~2~2~~4~125~5~0
103~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΤΟΠΟΓΡΑΦΙΑΣ ΚΑΙ ΓΕΩΠΛΗΡΟΦΟΡΙΚΗΣ ~Συστήματα και Επιστήμη Γεωγραφικών Πληροφοριών ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
104~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΤΟΠΟΓΡΑΦΙΑΣ ΚΑΙ ΓΕΩΠΛΗΡΟΦΟΡΙΚΗΣ ~Ψηφιακή Φωτογραμμετρία και Όραση Υπολογιστών ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
105~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΒΙΟΪΑΤΡΙΚΗΣ ~Νανοτεχνολογία ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
106~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΒΙΟΪΑΤΡΙΚΗΣ ~Προχωρημένα Θέματα Ρομποτικής ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
107~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΒΙΟΪΑΤΡΙΚΗΣ ~Εισαγωγή στη Βιοπληροφορική ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
108~~~~~ΤΜΗΜΑ ΜΗΧΑΝΙΚΩΝ ΒΙΟΪΑΤΡΙΚΗΣ ~Οπτική Μικροσκοπία και Ανάλυση Βιολογικών Εικόνων ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
109~~~~~ΤΜΗΜΑ ΑΡΧΕΙΟΝΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ ~Ψηφιακές Βιβλιοθήκες ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
110~~~~~ΤΜΗΜΑ ΑΡΧΕΙΟΝΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ ~Ηλεκτρονική Δημοσίευση ~ΜΕΠ ~~ΕΥ ~~~~~125~5~0
